Feature	MeanAbsSHAP	model
ECFP_933	0.0057352363549537	LogReg
ECFP_684	0.0057313335	XGB
ECFP_376	0.005701722	XGB
ECFP_625	0.005694165	XGB
ECFP_133	0.0056751749404149	LogReg
ECFP_386	0.0056707663	XGB
ECFP_117	0.0056600505	XGB
ECFP_535	0.0056506736136482	LogReg
ECFP_909	0.0056431938470208	LogReg
ECFP_834	0.0056393133303653	LogReg
ECFP_171	0.0056234794	XGB
ECFP_672	0.005601264661679	LogReg
ECFP_687	0.0055985164612793	LogReg
ECFP_875	0.0055949322491935	RF
ECFP_203	0.0055813254	XGB
ECFP_37	0.00558127	XGB
ECFP_973	0.0055741760802239	LogReg
ECFP_960	0.0055710201510255	LogReg
ECFP_532	0.0055578160674089	LogReg
ECFP_738	0.0055475586536697	LogReg
ECFP_15	0.005539319	XGB
ECFP_91	0.0055332946820405	LogReg
ECFP_619	0.0055118403	XGB
ECFP_511	0.0055038011167462	LogReg
ECFP_359	0.0054947838802161	LogReg
ECFP_271	0.0054817692431617	LogReg
ECFP_940	0.0054596084425132	LogReg
ECFP_203	0.0054586682776195	LogReg
ECFP_109	0.005439971	XGB
ECFP_327	0.0054384943427898	LogReg
ECFP_422	0.0054295762566643	LogReg
ECFP_53	0.0054242508680359	LogReg
ECFP_861	0.0054233289930023	LogReg
ECFP_581	0.0054211533006293	LogReg
ECFP_201	0.0054197254782362	LogReg
ECFP_143	0.0054024780277327	LogReg
ECFP_52	0.0053822864702343	LogReg
ECFP_58	0.0053654723751354	LogReg
ECFP_421	0.0053609444897119	LogReg
ECFP_905	0.0053430260332033	LogReg
ECFP_450	0.0053366373034283	LogReg
ECFP_709	0.0053339767572338	LogReg
ECFP_130	0.005328151	XGB
ECFP_97	0.0052969554	XGB
ECFP_890	0.0052924553657572	LogReg
ECFP_444	0.0052908597586697	LogReg
ECFP_144	0.00528432	XGB
ECFP_541	0.0052539434640351	LogReg
ECFP_970	0.0052416847306178	LogReg
ECFP_394	0.0052327377579782	LogReg
ECFP_701	0.0052292847038994	LogReg
ECFP_270	0.005215429122745	LogReg
ECFP_493	0.005212134	XGB
ECFP_308	0.0051899817852176	LogReg
ECFP_911	0.0051778998782233	LogReg
ECFP_208	0.00516392913116	LogReg
ECFP_285	0.0051498387219253	LogReg
ECFP_882	0.0051485360761907	LogReg
ECFP_709	0.0051034256	XGB
ECFP_915	0.005086503	XGB
ECFP_281	0.0050859974449824	LogReg
ECFP_123	0.0050789790762167	LogReg
ECFP_984	0.0050758919821733	LogReg
ECFP_546	0.005062127	XGB
ECFP_55	0.0050577063300761	LogReg
ECFP_509	0.0050574652454428	LogReg
ECFP_758	0.0050305109529641	LogReg
ECFP_18	0.0050270664278892	LogReg
ECFP_947	0.004994672	XGB
ECFP_524	0.0049941296161615	LogReg
ECFP_73	0.0049896033823957	LogReg
ECFP_1010	0.0049796306116529	LogReg
ECFP_647	0.0049768316346486	LogReg
ECFP_135	0.0049421041329124	LogReg
ECFP_689	0.0049332011702752	LogReg
ECFP_495	0.0049177962056322	LogReg
ECFP_672	0.0048842253	XGB
ECFP_233	0.0048801797	XGB
ECFP_753	0.004875006917277	LogReg
ECFP_2	0.0048654323738567	LogReg
ECFP_889	0.0048563579291573	LogReg
ECFP_63	0.0048530873266706	LogReg
ECFP_165	0.0048508528542798	LogReg
ECFP_997	0.0048472882793302	LogReg
ECFP_785	0.0048471987	XGB
ECFP_67	0.004846857	XGB
ECFP_116	0.0048466928427602	LogReg
ECFP_954	0.0048448719558079	LogReg
ECFP_448	0.0048240204405276	LogReg
ECFP_961	0.0048218353712072	LogReg
ECFP_1011	0.0047887167823075	LogReg
ECFP_780	0.004786025	XGB
ECFP_8	0.0047853601838617	LogReg
ECFP_650	0.0047852565436074	RF
ECFP_187	0.0047849415603419	LogReg
ECFP_830	0.0047834055983298	LogReg
ECFP_545	0.0047831293	XGB
ECFP_914	0.0047457974339306	LogReg
ECFP_966	0.0047383616	XGB
ECFP_371	0.0047307756077613	LogReg
