Feature	MeanAbsSHAP_RF
ECFP_542	0.0001715008075234284
ECFP_543	0.0010918231876170836
ECFP_544	0.00033619273179329856
ECFP_545	0.0005010669181141558
ECFP_546	0.0008235425679537891
ECFP_547	0.0002579273335994774
ECFP_548	0.0004238477062339263
ECFP_549	0.0028479929223064458
ECFP_550	0.0004810093703191918
ECFP_551	0.0007688022952649446
ECFP_552	0.0011383859491166544
ECFP_553	0.0008273685900257205
ECFP_554	0.0002641524919470829
ECFP_555	0.0006509682976943221
ECFP_556	0.00025206940368975166
ECFP_557	0.0006096919461683767
ECFP_558	0.00032937820549258927
ECFP_559	0.00043868198757191147
ECFP_560	0.0006185769606041394
ECFP_561	0.0028266121037447793
ECFP_562	0.0004140203155851921
ECFP_563	0.00019000892435627363
ECFP_564	0.0003273451881300537
ECFP_565	0.0002725133467092079
ECFP_566	0.00017029079179307454
ECFP_567	0.00034705249091471
ECFP_568	0.00026550624806036954
ECFP_569	0.0001553817414189434
ECFP_570	0.0001666672926855281
ECFP_571	0.000276955011210426
ECFP_572	0.00013623613297773183
ECFP_573	0.0005092861140029248
ECFP_574	7.640208844687295e-05
ECFP_575	0.001063496779129407
ECFP_576	0.00022763542398509525
ECFP_577	0.0007465128536294352
ECFP_578	0.0018940466612506167
ECFP_579	0.0010921043531469828
ECFP_580	0.0007874759596770406
ECFP_581	0.00045834280456221474
ECFP_582	0.00017440633724960487
ECFP_583	0.0006045064314080608
ECFP_584	0.0007878012157858827
ECFP_585	0.00022235071295762036
ECFP_586	0.0006285996851648389
ECFP_587	0.0004378080587325202
ECFP_588	0.0014171377506033598
ECFP_589	0.0005969077272091024
ECFP_590	0.00022265645581622922
ECFP_591	0.0002612812920338623
ECFP_592	0.0003278671021503475
ECFP_593	0.0003707140301018668
ECFP_594	0.0003247152134172645
ECFP_595	0.00012914290492196102
ECFP_596	0.00017539663761879297
ECFP_597	0.0002833344802765487
ECFP_598	0.00014345307927279139
ECFP_599	0.0002817242206073779
ECFP_600	0.0005298929494515896
ECFP_601	0.0004292129372427582
ECFP_602	0.00017794157241228978
ECFP_603	0.00025003741504517747
ECFP_604	0.00030466093893186715
ECFP_605	0.0002264441136849022
ECFP_606	0.0006494110933073311
ECFP_607	0.0008071948024115222
ECFP_608	0.0001721957110321498
ECFP_609	0.00022525642512795114
ECFP_610	0.0006190218698106278
ECFP_611	9.921045694809665e-05
ECFP_612	0.0003075577125718947
ECFP_613	0.000336026952958904
ECFP_614	0.00010705895250028882
ECFP_615	0.00019893008955004448
ECFP_616	0.00014669561046709882
ECFP_617	0.0001112334520183647
ECFP_618	0.0001606528672826462
ECFP_619	0.0007355140476424059
ECFP_620	0.0002505488917031387
ECFP_621	0.0005543155417392902
ECFP_622	0.0008962006421789984
ECFP_623	0.00034966580850008956
ECFP_624	0.0004384420005714617
ECFP_625	0.0005274495050895272
ECFP_626	0.00019620742652415977
ECFP_627	0.00023496461856588837
ECFP_628	0.0006867828871823017
ECFP_629	0.0002089272005086858
ECFP_630	0.00026653936685119855
ECFP_631	0.00012725046824541933
ECFP_632	0.00040666151969826603
ECFP_633	0.00018148077713018763
ECFP_634	6.611269621825181e-05
ECFP_635	0.00014512999187404576
ECFP_636	0.0002605530867126169
ECFP_637	0.00018646767918038164
ECFP_638	0.0004468827119555874
ECFP_639	0.0006423464272552947
ECFP_640	0.00033632319440552794
ECFP_641	0.0014234535055827665
ECFP_642	0.00019446040660526785
ECFP_643	0.00024869933143432656
ECFP_644	0.00012035537529992125
ECFP_645	0.00010071866619267991
ECFP_646	0.0009144943348395624
ECFP_647	0.00025193448131572175
ECFP_648	0.00013556197380780346
ECFP_649	0.00029813349370300877
ECFP_650	0.004785256543607491
ECFP_651	0.0004673152274547522
ECFP_652	0.0006358602342507367
ECFP_653	0.00030909175553749823
ECFP_654	0.00010352664147594189
ECFP_655	0.0001593500689419061
ECFP_656	0.0028886946878316196
ECFP_657	0.00042691475359065345
ECFP_658	0.00023994588046541608
ECFP_659	0.0028771871212901743
ECFP_660	0.00019009663815608516
ECFP_661	0.00036891392159770175
ECFP_662	0.00028409888097886244
ECFP_663	0.00011761373073511206
ECFP_664	0.0002522947824991147
ECFP_665	0.0012045075224880683
ECFP_666	7.897753786050329e-05
ECFP_667	0.0015293451402604527
ECFP_668	0.00016572688490654197
ECFP_669	0.0005878473766933145
ECFP_670	0.0006449734724893394
ECFP_671	0.000677895877638963
ECFP_672	0.00022639538473951258
ECFP_673	0.0014561763185723757
ECFP_674	0.0003188900472182117
ECFP_675	0.0010989185730927143
ECFP_676	0.00031902537107470174
ECFP_677	0.0005490969489160911
ECFP_678	0.00013324848689863885
ECFP_679	0.00027587479792337284
ECFP_680	0.0005322436559959383
ECFP_681	0.0001099511434074741
ECFP_682	0.00022266713804398576
ECFP_683	0.00021501194976348862
ECFP_684	0.0006141783350420672
ECFP_685	0.0001431608395282068
ECFP_686	0.00012946617969690716
ECFP_687	0.00030191684732264017
ECFP_688	0.00010745310544762417
ECFP_689	0.0005166712316134965
ECFP_690	0.00013433747657501065
ECFP_691	0.0004570310468798411
ECFP_692	0.0007341406908329266
ECFP_693	0.000754039162765646
ECFP_694	0.0007697877339355565
ECFP_695	0.0008991925812228284
ECFP_696	0.00014190924590949515
ECFP_697	0.0003006571955701212
ECFP_698	0.002265430950157392
ECFP_699	0.0010870961031652646
ECFP_700	0.0005781430916689609
ECFP_701	0.000460778661082257
ECFP_702	9.315876580782453e-05
ECFP_703	0.0006055715677996136
ECFP_704	0.00038246839509229234
ECFP_705	0.0002426785462585321
ECFP_706	0.0002524167458197871
ECFP_707	0.001126802856493059
ECFP_708	0.0007788985982192447
ECFP_709	0.00044661759794674665
ECFP_710	0.00022836503565510768
ECFP_711	0.0004531084455766667
ECFP_712	0.00011132720712496656
ECFP_713	0.000641956127531074
ECFP_714	0.00043049485396624875
