Feature	MeanAbsSHAP_LogReg
ECFP_545	0.005856409404013915
ECFP_546	0.011156565042457883
ECFP_547	0.003279435505404144
ECFP_548	0.006512862017534748
ECFP_549	0.0320762474867438
ECFP_550	0.0062218139716501645
ECFP_551	0.011827151389880768
ECFP_552	0.017442350420876628
ECFP_553	0.006564643664626059
ECFP_554	0.0025826273261686044
ECFP_555	0.007428267814765183
ECFP_556	0.0030300426352742804
ECFP_557	0.015611772297292114
ECFP_558	0.001904818886938125
ECFP_559	0.005883031909567479
ECFP_560	0.007721807017421768
ECFP_561	0.02629083350040782
ECFP_562	0.0078038687476658835
ECFP_563	0.001762720805796126
ECFP_564	0.006300804852734983
ECFP_565	0.0034105324191226983
ECFP_566	0.0018631688022296006
ECFP_567	0.002652241172164315
ECFP_568	0.0020006601663168032
ECFP_569	0.002541804243793389
ECFP_570	0.003273193718586398
ECFP_571	0.003742171361351074
ECFP_572	0.0018651855630685264
ECFP_573	0.010358876796081865
ECFP_574	0.0013284500824619415
ECFP_575	0.01389452021498363
ECFP_576	0.0031873643162742505
ECFP_577	0.008190648596183157
ECFP_578	0.05341273668632117
ECFP_579	0.018117366713509653
ECFP_580	0.006037153894579405
ECFP_581	0.005421145752244989
ECFP_582	0.0030209051499005025
ECFP_583	0.010506883657161795
ECFP_584	0.013723778274561177
ECFP_585	0.0029451280946759715
ECFP_586	0.007725557819234892
ECFP_587	0.006270682109466021
ECFP_588	0.011562151796605021
ECFP_589	0.016816660667636995
ECFP_590	0.00466280427439902
ECFP_591	0.003063712140285621
ECFP_592	0.009463785377699891
ECFP_593	0.0028815324596577338
ECFP_594	0.00596876940984053
ECFP_595	0.001628235432942449
ECFP_596	0.002901762557011376
ECFP_597	0.003276238460883175
ECFP_598	0.0013539688880029553
ECFP_599	0.0029318354037375593
ECFP_600	0.006493900111759693
ECFP_601	0.003023987423136129
ECFP_602	0.002047613775806331
ECFP_603	0.0030863747201397805
ECFP_604	0.003027867647905276
ECFP_605	0.0013294110076310813
ECFP_606	0.008130173098860998
ECFP_607	0.008368359658898032
ECFP_608	0.0013903564400562238
ECFP_609	0.001679215180510747
ECFP_610	0.023336859353065766
ECFP_611	0.0025401682869665844
ECFP_612	0.0021536862823205863
ECFP_613	0.0032418221766055454
ECFP_614	0.0005967852953436802
ECFP_615	0.0026473815085191746
ECFP_616	0.0012940128153173893
ECFP_617	0.0008899789646411258
ECFP_618	0.0019296620374399138
ECFP_619	0.005857023754610238
ECFP_620	0.002349898570311116
ECFP_621	0.008315104286345678
ECFP_622	0.02230416179397374
ECFP_623	0.0037106934065844117
ECFP_624	0.0057379383504321275
ECFP_625	0.008769449156757193
ECFP_626	0.0012228261941077407
ECFP_627	0.0019148825631803105
ECFP_628	0.003060637301657002
ECFP_629	0.0016650661779873516
ECFP_630	0.0029373703610834326
ECFP_631	0.0016446176930862491
ECFP_632	0.0034003962259422766
ECFP_633	0.0022762290574604273
ECFP_634	0.000987324654282974
ECFP_635	0.0014253325263718648
ECFP_636	0.0033457964210549087
ECFP_637	0.0018970918512648048
ECFP_638	0.009939406469227207
ECFP_639	0.004724011182194121
ECFP_640	0.0036463242854118867
ECFP_641	0.029738466513529672
ECFP_642	0.0029100129188273202
ECFP_643	0.002677099650912555
ECFP_644	0.0010730660287057371
ECFP_645	0.0008131708855593537
ECFP_646	0.0069455231257228535
ECFP_647	0.004976754250715137
ECFP_648	0.0014713728404722108
ECFP_649	0.004169635912390679
ECFP_650	0.06269017806015444
ECFP_651	0.004010890996609668
ECFP_652	0.011620910130223965
ECFP_653	0.0035466709065789374
ECFP_654	0.0016355567018270802
ECFP_655	0.0019455740164049118
ECFP_656	0.08186793043005293
ECFP_657	0.007952651882428838
ECFP_658	0.00207431242998869
ECFP_659	0.04121337330486044
ECFP_660	0.002985039043248229
ECFP_661	0.0067398554535046925
ECFP_662	0.0012839192988045238
ECFP_663	0.0009411956533586875
ECFP_664	0.003770918067676469
ECFP_665	0.015672103453520735
ECFP_666	0.0009152110843080461
ECFP_667	0.04102463613647112
ECFP_668	0.002812583442798808
ECFP_669	0.010783597441346538
ECFP_670	0.004034996169206264
ECFP_671	0.004045205762054455
ECFP_672	0.005601552267780567
ECFP_673	0.020276134928771748
ECFP_674	0.002743434126260667
ECFP_675	0.017238563535374805
ECFP_676	0.001978043056697179
ECFP_677	0.004045357759807295
ECFP_678	0.00073373265788464
ECFP_679	0.0016516144037551687
ECFP_680	0.011905998464359682
ECFP_681	0.0024458074622450117
ECFP_682	0.002761216432253648
ECFP_683	0.002478662581793877
ECFP_684	0.012984896811357704
ECFP_685	0.0028794542623370965
ECFP_686	0.0014116688958831006
ECFP_687	0.005598739748102795
ECFP_688	0.000685328679609449
ECFP_689	0.004933675928341706
ECFP_690	0.001782234207619146
ECFP_691	0.006903322229389825
ECFP_692	0.010743023658751811
ECFP_693	0.012806582573156422
ECFP_694	0.016146598997993714
ECFP_695	0.02879998182298593
ECFP_696	0.0008619089002823316
ECFP_697	0.0026258579749686146
ECFP_698	0.01943194449325211
ECFP_699	0.007434487903546996
ECFP_700	0.005990179198129804
ECFP_701	0.005229465751604768
ECFP_702	0.0008719762235286551
ECFP_703	0.01299758603672641
ECFP_704	0.0018380007907979133
ECFP_705	0.01039184981253305
ECFP_706	0.0028884134886818
ECFP_707	0.011350649914430813
ECFP_708	0.01475329343535275
ECFP_709	0.005333914703998775
ECFP_710	0.001872024848406478
ECFP_711	0.005773078997944789
ECFP_712	0.0011513408855198986
ECFP_713	0.01331859104927281
ECFP_714	0.00986508397193232
ECFP_715	0.010208717954286323
ECFP_716	0.0018602237516327099
ECFP_717	0.0022030469886243796
ECFP_718	0.03444876112636237
ECFP_719	0.0017387411986402527
ECFP_720	0.00452979513151862
ECFP_721	0.013119177410400265
ECFP_722	0.003026879073108766
ECFP_723	0.0035220856091177886
ECFP_724	0.0026681095126702714
ECFP_725	0.008254899466758142
ECFP_726	0.12181346309265621
ECFP_727	0.0045156936611489805
ECFP_728	0.009128439521579103
ECFP_729	0.004212916613652489
ECFP_730	0.03500380661251371
ECFP_731	0.006684971872673711
ECFP_732	0.0023346921666083783
ECFP_733	0.0013804848803419863
ECFP_734	0.002884183980608993
ECFP_735	0.0007804260306840027
ECFP_736	0.027795118767476323
ECFP_737	0.003781575315328651
ECFP_738	0.005547456443835494
ECFP_739	0.01566033885578233
ECFP_740	0.005870489838375983
ECFP_741	0.0018423275250357457
ECFP_742	0.003581639580503649
ECFP_743	0.00414688605024838
ECFP_744	0.0009467600839323132
ECFP_745	0.01750957888873359
ECFP_746	0.001145546161442973
ECFP_747	0.01040608438182665
ECFP_748	0.004562550502898555
ECFP_749	0.0057481351646354595
ECFP_750	0.003158894865769469
ECFP_751	0.008498473884200884
ECFP_752	0.0030444772261272344
ECFP_753	0.004874776458855714
ECFP_754	0.015728009272196263
ECFP_755	0.0026156438731879572
ECFP_756	0.0013616190147110797
ECFP_757	0.004217546165918209
ECFP_758	0.005029897650508475
ECFP_759	0.01742090538804316
ECFP_760	0.0013298287375664779
ECFP_761	0.006824739494934123
ECFP_762	0.0019407311308868795
ECFP_763	0.005970841887595775
ECFP_764	0.0037614762609785406
ECFP_765	0.0032924956770287728
ECFP_766	0.00041863896459015253
ECFP_767	0.012975587335991384
ECFP_768	0.0036708370498095104
ECFP_769	0.00733909451687984
ECFP_770	0.00710940833087244
ECFP_771	0.004165121943510317
ECFP_772	0.0030376188754010947
ECFP_773	0.0025719691777012716
ECFP_774	0.0006810505347068349
ECFP_775	0.003202973131547428
ECFP_776	0.0035943664311515995
ECFP_777	0.0023279014508759245
ECFP_778	0.0014535079421725801
ECFP_779	0.004258923868646623
ECFP_780	0.008599747117741873
ECFP_781	0.0006298441248328888
ECFP_782	0.004165148408993543
ECFP_783	0.002039460601259543
ECFP_784	0.007921601549176427
ECFP_785	0.012479428934540494
ECFP_786	0.005921887264280209
ECFP_787	0.015122956409420777
ECFP_788	0.0022399687883387204
ECFP_789	0.001953725268273647
ECFP_790	0.0017984662427891992
ECFP_791	0.0007415984010810207
ECFP_792	0.006642267960395562
ECFP_793	0.0006503025775963889
ECFP_794	0.03664086875447879
ECFP_795	0.005741990747091427
ECFP_796	0.0008750269993493057
ECFP_797	0.0012017510046797228
ECFP_798	0.014817317945621597
