Feature	MeanAbsSHAP_XGB
ECFP_550	0.0011013967
ECFP_551	0.0053870524
ECFP_552	0.023920823
ECFP_553	0.002982532
ECFP_554	0.0
ECFP_555	0.0011030828
ECFP_556	0.0025855354
ECFP_557	0.01885988
ECFP_558	0.0
ECFP_559	0.0014040029
ECFP_560	0.0010865696
ECFP_561	0.036136996
ECFP_562	0.0024796699
ECFP_563	0.0
ECFP_564	0.005259066
ECFP_565	0.001086704
ECFP_566	0.0
ECFP_567	0.0
ECFP_568	0.0
ECFP_569	0.00017525515
ECFP_570	0.0
ECFP_571	0.0
ECFP_572	0.0003505608
ECFP_573	0.010095636
ECFP_574	0.0
ECFP_575	0.0037997484
ECFP_576	0.0
ECFP_577	0.0058846897
ECFP_578	0.08762451
ECFP_579	0.024073113
ECFP_580	0.0029420506
ECFP_581	0.0
ECFP_582	0.0
ECFP_583	0.0040596016
ECFP_584	0.011720864
ECFP_585	0.0007461843
ECFP_586	0.0028946134
ECFP_587	0.0009766939
ECFP_588	0.030983394
ECFP_589	0.009244339
ECFP_590	0.0
ECFP_591	0.0012122929
ECFP_592	0.00061075785
ECFP_593	0.00039697305
ECFP_594	0.0006581686
ECFP_595	0.0
ECFP_596	0.0
ECFP_597	0.00042115204
ECFP_598	0.0004570838
ECFP_599	0.0
ECFP_600	0.00096578215
ECFP_601	0.0005347657
ECFP_602	0.0
ECFP_603	0.00034249874
ECFP_604	0.0
ECFP_605	0.0011586979
ECFP_606	0.0006291816
ECFP_607	0.006687487
ECFP_608	0.0
ECFP_609	0.0
ECFP_610	0.03792628
ECFP_611	0.00028337803
ECFP_612	0.0
ECFP_613	0.0009498734
ECFP_614	0.0
ECFP_615	0.0014697077
ECFP_616	0.0
ECFP_617	0.0
ECFP_618	0.0
ECFP_619	0.0017921056
ECFP_620	0.00042990418
ECFP_621	0.00096038263
ECFP_622	0.015786083
ECFP_623	0.0028223156
ECFP_624	0.0025327483
ECFP_625	0.008409263
ECFP_626	0.0
ECFP_627	0.0
ECFP_628	0.0
ECFP_629	0.00042751906
ECFP_630	0.0
ECFP_631	0.0
ECFP_632	0.00067663944
ECFP_633	0.0
ECFP_634	0.0
ECFP_635	0.0
ECFP_636	0.0010279997
ECFP_637	0.001575841
ECFP_638	0.0023650213
ECFP_639	0.0003754019
ECFP_640	0.001798188
ECFP_641	0.034898136
ECFP_642	0.0
ECFP_643	0.0
ECFP_644	0.0
ECFP_645	0.0
ECFP_646	0.006043818
ECFP_647	0.00034668323
ECFP_648	0.0
ECFP_649	0.0011020986
ECFP_650	0.11812037
ECFP_651	0.00079003145
ECFP_652	0.019401167
ECFP_653	0.00033627774
ECFP_654	0.0
ECFP_655	0.0
ECFP_656	0.10080465
ECFP_657	0.004966665
ECFP_658	0.0
ECFP_659	0.058472164
ECFP_660	0.0
ECFP_661	0.0074674576
ECFP_662	0.0020750747
ECFP_663	0.0
ECFP_664	0.0
ECFP_665	0.0044904924
ECFP_666	0.0
ECFP_667	0.054593574
ECFP_668	0.00064559805
ECFP_669	0.0011890221
ECFP_670	0.0
ECFP_671	0.0010513818
ECFP_672	0.0052127866
ECFP_673	0.016346673
ECFP_674	0.001625609
ECFP_675	0.011987146
ECFP_676	0.0005930214
ECFP_677	0.0057542827
ECFP_678	0.0
ECFP_679	0.002752828
ECFP_680	0.002909076
ECFP_681	0.0005156255
ECFP_682	0.00030625917
ECFP_683	0.0
ECFP_684	0.0041145654
ECFP_685	0.0
ECFP_686	0.0009797957
ECFP_687	0.0038112544
ECFP_688	0.0
ECFP_689	0.00045009627
ECFP_690	0.0014335727
ECFP_691	0.00097482046
ECFP_692	0.02112991
ECFP_693	0.021651182
ECFP_694	0.012773064
ECFP_695	0.026783008
ECFP_696	0.0
ECFP_697	0.00014868856
ECFP_698	0.010632182
ECFP_699	0.010437789
ECFP_700	0.0026133505
ECFP_701	0.000836398
ECFP_702	0.0
ECFP_703	0.011121519
ECFP_704	0.000419292
ECFP_705	0.0031707804
ECFP_706	0.0014409062
ECFP_707	0.017575352
ECFP_708	0.0008826645
ECFP_709	0.00609381
ECFP_710	0.0
ECFP_711	0.0
ECFP_712	0.00039084192
ECFP_713	0.013401426
ECFP_714	0.009878504
ECFP_715	0.03376709
ECFP_716	0.00059653335
ECFP_717	0.0
ECFP_718	0.044906717
ECFP_719	0.0
ECFP_720	0.0
ECFP_721	0.011838169
ECFP_722	0.0007247641
ECFP_723	0.00046623364
ECFP_724	0.0020884976
ECFP_725	0.0029612412
ECFP_726	0.16115162
ECFP_727	0.0
ECFP_728	0.0033005618
ECFP_729	0.0
ECFP_730	0.026728844
ECFP_731	0.0
ECFP_732	0.0
ECFP_733	0.0
ECFP_734	0.0
ECFP_735	0.0
ECFP_736	0.019160949
ECFP_737	0.0
ECFP_738	0.0
ECFP_739	0.017175525
ECFP_740	0.002619313
ECFP_741	0.0
ECFP_742	0.0005376993
ECFP_743	0.0002560475
ECFP_744	0.0
ECFP_745	0.018873258
ECFP_746	0.0
ECFP_747	0.0043918514
ECFP_748	0.0002953945
ECFP_749	0.0006600019
ECFP_750	0.0016106259
ECFP_751	0.0025874972
ECFP_752	0.0
ECFP_753	0.0061915964
ECFP_754	0.014275199
ECFP_755	0.0
ECFP_756	0.0
ECFP_757	0.0004723776
ECFP_758	0.00087351224
ECFP_759	0.028900743
ECFP_760	0.0
ECFP_761	0.002411712
ECFP_762	0.0
ECFP_763	0.001922054
ECFP_764	0.0
ECFP_765	0.00076523225
ECFP_766	0.0
ECFP_767	0.004325811
ECFP_768	0.0
ECFP_769	0.0036143654
ECFP_770	0.0017935627
ECFP_771	0.002351161
ECFP_772	0.00045557023
ECFP_773	0.0
ECFP_774	0.0
ECFP_775	0.0006454734
ECFP_776	0.00044563372
ECFP_777	0.00033863814
ECFP_778	0.0
ECFP_779	0.0015079897
ECFP_780	0.007930413
ECFP_781	0.0
ECFP_782	0.0013509797
ECFP_783	0.0
ECFP_784	0.0042057927
ECFP_785	0.0032494322
ECFP_786	0.0023848037
ECFP_787	0.023490846
ECFP_788	0.0
ECFP_789	0.0
ECFP_790	0.001182667
ECFP_791	0.0
ECFP_792	0.005348595
ECFP_793	0.0
ECFP_794	0.06978583
ECFP_795	0.002190405
ECFP_796	0.0
ECFP_797	0.0
ECFP_798	0.012917456
ECFP_799	0.0
ECFP_800	0.0
ECFP_801	0.009798361
ECFP_802	0.0
ECFP_803	0.0
ECFP_804	0.00032384714
ECFP_805	0.0
ECFP_806	0.016626243
ECFP_807	0.042365234
ECFP_808	0.00071095634
ECFP_809	0.0003768815
ECFP_810	0.0
ECFP_811	0.00030333648
ECFP_812	0.0
ECFP_813	0.0006265828
ECFP_814	0.0005192553
ECFP_815	0.0030908391
ECFP_816	0.019948121
ECFP_817	0.0009440257
ECFP_818	0.0
ECFP_819	0.0008640889
ECFP_820	0.007576811
ECFP_821	0.0
ECFP_822	0.0
ECFP_823	0.018636128
ECFP_824	0.0
ECFP_825	0.002622109
ECFP_826	0.0
ECFP_827	0.013188233
ECFP_828	0.0
ECFP_829	0.018924901
ECFP_830	0.003336729
ECFP_831	0.015182924
ECFP_832	0.0029251308
ECFP_833	0.0011481063
ECFP_834	0.00041346354
ECFP_835	0.0
ECFP_836	0.0
ECFP_837	0.00056297955
ECFP_838	0.0019236011
ECFP_839	0.00027775875
ECFP_840	0.0006448453
ECFP_841	0.023051215
